msku,quantity,date,marketplace
x001w7n0cx,-1,2025-01-27,Amazon
x001w7n0cd,-1,2025-01-27,Amazon
x001vwauat,-1,2025-01-27,Amazon
x001vw1i8r,-1,2025-01-27,Amazon
x001vv0bwr,-1,2025-01-27,Amazon
x001vsxa73,-1,2025-01-27,Amazon
x001vs5zc1,-1,2025-01-27,Amazon
x001vs4m1v,-1,2025-01-27,Amazon
x001rflggh,-1,2025-01-27,Amazon
x001mz8jd5,-1,2025-01-27,Amazon
x001jjpaoz,-1,2025-01-27,Amazon
x001dh3ith,-1,2025-01-27,Amazon
x001vv0bwr,-1,2025-01-26,Amazon
cste_0546_st_animal_lucifer_cat_black,1,2025-01-26,Flipkart
map_musicbox_black_hbd,1,2025-01-26,Flipkart
f_ay hp m box black,1,2025-01-26,Flipkart
f_ay hp m box black,1,2025-01-26,Flipkart
map_musicbox_black_hbd,1,2025-01-26,Flipkart
music box/11,1,2025-01-26,Flipkart
music box/11,1,2025-01-25,Flipkart
f_ay hp m box black,1,2025-01-26,Flipkart
cste_0470_st_minecraft_sword_small,1,2025-01-26,Flipkart
cste_0470_st_minecraft_sword_small,1,2025-01-26,Flipkart
f_ay hp m box black,1,2025-01-26,Flipkart
f_ay hp m box black,1,2025-01-27,Flipkart
music box/11,1,2025-01-26,Flipkart
cste_0470_st_minecraft_sword_small,1,2025-01-27,Flipkart
cj-thug life sunglasses pixel gangster,1,2025-01-26,Flipkart
sabrina_8note_kalimba,1,2025-01-26,Flipkart
eitheo_hbd,1,2025-01-27,Flipkart
wing_red_sg,1,2025-01-27,Flipkart
music box/11,1,2025-01-27,Flipkart
music box/11,1,2025-01-26,Flipkart
cste_0491_st_fruit_blox_spirit,1,2025-01-27,Flipkart
cste_0533_st_animal_breathing_koala_grey,1,2025-01-27,Flipkart
cste_0489_st_fruit_blox_light,1,2025-01-27,Flipkart
cste_0491_st_fruit_blox_spirit,1,2025-01-27,Flipkart
cste_0488_st_anim_breathing_stitch_blue,1,2025-01-27,Flipkart
breathing_otter_pink,1,2025-01-27,Flipkart
cste_0490_st_fruit_blox_shadow,1,2025-01-27,Flipkart
cste_0486_st_anim_breathing_otter_brown,1,2025-01-27,Flipkart
music box/11,1,2025-01-28,Flipkart
mercurygreen_fire_sg,1,2025-01-27,Flipkart
eitheo_hbd,1,2025-01-27,Flipkart
music box/11,1,2025-01-28,Flipkart
